prompt	wreck	pump	got	hold	none	huh	1t	1s	2t	2s	3t	3s	4t	4s	5t	5s	6t	6s
A tiny person crawls up Brutadon's back.	1	2	2	2	3		Brutadon wrecks him.	1	Brutadon pumps that little guy up. The little guy stomps Brutadon's eye.	0								
This guy wants you to pump him up.	2	2	2	3	4		You pumped him up! Great!	1	You didn't pump it up, you suck.	0								
																		
																		
	4																	
																		
																		
																		
																		
																		
Gromyulox knocks over the city's largest bank, pinning Brutadon beneath its financial hulk. Brutadon sobs and sniffles in shame!	1	2	3	4	5		Brutadon takes advantage of his ground-level position and bites Gromyulox in the ankle! Take that, Gromyulox!	1	Brutadon flexes his giant muscles, and the bank shatters into a million pieces! Gromyulox gasps in terror!	1	Brutadon is heartened by your encouragement-- but encouragement can't lift banks! Gromyulox stomps on his poor face!	0	Brutadon growls in confusion, but he obediently lies under the bank wreckage. Gromyulox stomps all over his face! Ouch!	0	Brutadon is so scared! He wails and roars under the bank while Gromyulox roasts him with radioactive fire!	0		
Gromyulox punches Brutadon so hard, one of Brutadon's extra eyeballs falls out on the ground!	1	1	2	3	3	4	Brutadon stomps on his own eyeball! He uses his remaining ones to stare Gromyulox down! It's an incredible power move, and Gromyulox is extremely intimidated!	1	Brutadon grits his teeth and pushes through the pain! Your encouragement is all he needs!	1	Brutadon recoils, and Gromyulox closes in for a second punch. KABLAMMO! He knocks out one of Brutadon's extra tongues!	0	Brutadon can't hear you over his howls of pain! Speak more clearly!					
Brutadon's cell phone rings in the middle of the fight! You can tell from his anxious growls that it's his tax preparer! This call is too important for him to skip!	1	1					Brutadon roars into his cell phone, shattering it into a million pieces! Oh no! That's going to affect his maximum return!	0										
Suddenly, you see the expression on Brutadon's face change. You can tell that he's experiencing a bout of imposter syndrome!																		
																		
																		
																		
																		
Brutadon's spirit is burdened. It has been a difficult day, and you can see it on Brutadon's craggy face. He sits down on a nearby apartment building, despondent.	1	2	1	3			Brutadon had forgotten the intrinsic joy of his colossal existence. He, can wreck them. He, will wreck them. He punches a car-sized hole in the apartment building. He is filled with determination. 	1	Brutadon does not feel like pumping it up. Brutadon does not feel that you empathize with his existential woe.	0	Brutadon has held back his feelings for so long that he feels like his heart is about to pop like a bubble.							
